date,hs300_benchmark_nav,baseline_nav,slope_vol_015_nav,slope_vol_025_nav,slope_downvol_025_nav,slope_downvol_040_nav,slope_r2_020_nav,slope_r2_035_nav,slope_downvol025_r2_020_nav
2012-10-17,0.898617511520736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-18,0.9097542242703521,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995
2012-10-19,0.9097542242703521,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-10-22,0.9132104454685087,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-10-23,0.9028417818740386,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-10-24,0.9013056835637467,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-10-25,0.8940092165898603,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-10-26,0.874039938556066,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-10-29,0.8698156682027637,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-10-30,0.8717357910906285,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-10-31,0.877880184331796,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-01,0.8963133640552984,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-02,0.8982334869431632,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-05,0.8959293394777255,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-06,0.8924731182795687,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-07,0.8917050691244228,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-08,0.8755760368663582,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-09,0.8732718894009205,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-12,0.8763440860215043,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-13,0.8629032258064506,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-14,0.8652073732718882,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-15,0.8548387096774182,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-16,0.8467741935483859,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-19,0.8467741935483859,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-20,0.8444700460829482,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-21,0.8548387096774182,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-22,0.8498463901689699,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-23,0.8544546850998456,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-26,0.8490783410138241,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-27,0.8398617511520728,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-28,0.8306451612903217,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-29,0.827572964669738,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-11-30,0.8314132104454677,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-03,0.8237327188940085,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-04,0.8302611367127488,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-05,0.8594470046082944,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-06,0.8582949308755755,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-07,0.8755760368663588,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-10,0.8836405529953911,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-11,0.8809523809523804,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-12,0.8828725038402454,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-13,0.8759600614439321,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
2012-12-14,0.9201228878648231,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001
2012-12-17,0.922811059907834,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025
2012-12-18,0.9086021505376343,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562
2012-12-19,0.9109062980030718,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492
2012-12-20,0.9170506912442393,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831
2012-12-21,0.9132104454685098,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371
2012-12-24,0.9139784946236558,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664
2012-12-25,0.9393241167434717,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731
2012-12-26,0.9420122887864824,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833
2012-12-27,0.9400921658986177,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601
2012-12-28,0.9539170506912443,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286
2012-12-31,0.969278033794163,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704
2013-01-04,0.9715821812596007,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579
2013-01-07,0.9731182795698926,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163
2013-01-08,0.9688940092165901,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559
2013-01-09,0.9681259600614442,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266
2013-01-10,0.9704301075268821,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143
2013-01-11,0.9558371735791096,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593
2013-01-14,0.9896313364055304,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448
2013-01-15,0.9953917050691249,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864
2013-01-16,0.9880952380952385,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863
2013-01-17,0.981950844854071,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526
2013-01-18,0.996543778801844,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908
2013-01-21,1.0000000000000004,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393
2013-01-22,0.9984639016897086,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808
2013-01-23,1.0003840245775735,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538
2013-01-24,0.9938556067588331,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054
2013-01-25,0.9892473118279576,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763
2013-01-28,1.0161290322580652,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526
2013-01-29,1.0238095238095244,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447
2013-01-30,1.029569892473119,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638
2013-01-31,1.03225806451613,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663
2013-02-01,1.052227342549924,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026
2013-02-04,1.0541474654377887,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099
2013-02-05,1.061827956989248,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391
2013-02-06,1.0649001536098317,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508
2013-02-07,1.059907834101383,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318
2013-02-08,1.0633640552995398,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495
2013-02-18,1.0476190476190483,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505
2013-02-19,1.030721966205838,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078
2013-02-20,1.0353302611367137,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832
2013-02-21,0.998463901689709,1.083119521061507,1.083119521061507,1.083119521061507,1.083119521061507,1.083119521061507,1.083119521061507,1.083119521061507,1.083119521061507
2013-02-22,0.9953917050691252,1.0822196986901635,1.0822196986901635,1.0822196986901635,1.0822196986901635,1.0822196986901635,1.0822196986901635,1.0822196986901635,1.0822196986901635
2013-02-25,0.996927803379417,1.0826706235646177,1.0826706235646177,1.0826706235646177,1.0826706235646177,1.0826706235646177,1.0826706235646177,1.0826706235646177,1.0826706235646177
2013-02-26,0.9823348694316442,1.0782460728183054,1.0782460728183054,1.0782460728183054,1.0782460728183054,1.0782460728183054,1.0782460728183054,1.0782460728183054,1.0782460728183054
2013-02-27,0.9915514592933954,1.078100509598475,1.078100509598475,1.078100509598475,1.078100509598475,1.078100509598475,1.078100509598475,1.078100509598475,1.078100509598475
2013-02-28,1.0249615975422437,1.087908635458455,1.087908635458455,1.087908635458455,1.087908635458455,1.087908635458455,1.087908635458455,1.087908635458455,1.087908635458455
2013-03-01,1.0238095238095248,1.0875784721033703,1.0875784721033703,1.0875784721033703,1.0875784721033703,1.0875784721033703,1.0875784721033703,1.0875784721033703,1.0875784721033703
2013-03-04,0.9754224270353312,1.0737002201825314,1.0737002201825314,1.0737002201825314,1.0737002201825314,1.0737002201825314,1.0737002201825314,1.0737002201825314,1.0737002201825314
2013-03-05,1.0034562211981577,1.082031964804499,1.082031964804499,1.082031964804499,1.082031964804499,1.082031964804499,1.082031964804499,1.082031964804499,1.082031964804499
2013-03-06,1.0142089093702007,1.0851625280092145,1.0851625280092145,1.0851625280092145,1.0851625280092145,1.0851625280092145,1.0851625280092145,1.0851625280092145,1.0851625280092145
2013-03-07,1.0019201228878658,1.0816124317418918,1.0816124317418918,1.0816124317418918,1.0816124317418918,1.0816124317418918,1.0816124317418918,1.0816124317418918,1.0816124317418918
2013-03-08,1.000384024577574,1.081164696430937,1.081164696430937,1.081164696430937,1.081164696430937,1.081164696430937,1.081164696430937,1.081164696430937,1.081164696430937
2013-03-11,0.9934715821812606,1.0791476290894189,1.0791476290894189,1.0791476290894189,1.0791476290894189,1.0791476290894189,1.0791476290894189,1.0791476290894189,1.0791476290894189
2013-03-12,0.9792626728110608,1.0749803755855134,1.0749803755855134,1.0749803755855134,1.0749803755855134,1.0749803755855134,1.0749803755855134,1.0749803755855134,1.0749803755855134
2013-03-13,0.9685099846390176,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838
2013-03-14,0.9704301075268826,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838
2013-03-15,0.9711981566820285,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838
2013-03-18,0.9608294930875583,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838
2013-03-19,0.9692780337941638,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838,1.0716486828369838
2013-03-20,0.9988479262672821,1.0715040102648008,1.0715040102648008,1.0715040102648008,1.0715040102648008,1.0715040102648008,1.0715040102648008,1.0715040102648008,1.0715040102648008
2013-03-21,1.001536098310293,1.072282611794751,1.072282611794751,1.072282611794751,1.072282611794751,1.072282611794751,1.072282611794751,1.072282611794751,1.072282611794751
2013-03-22,1.0042242703533037,1.0730596877672556,1.0730596877672556,1.0730596877672556,1.0730596877672556,1.0730596877672556,1.0730596877672556,1.0730596877672556,1.0730596877672556
2013-03-25,1.0026881720430119,1.0726165120644684,1.0726165120644684,1.0726165120644684,1.0726165120644684,1.0726165120644684,1.0726165120644684,1.0726165120644684,1.0726165120644684
2013-03-26,0.9861751152073743,1.067847045306495,1.067847045306495,1.067847045306495,1.067847045306495,1.067847045306495,1.067847045306495,1.067847045306495,1.067847045306495
