date,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511990_cash10_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511990_cash20_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511990_cash30_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511990_cash40_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511990_cash50_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511880_cash10_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511880_cash20_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511880_cash30_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511880_cash40_vr90_vb-1_cap20_nav,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__defbucket_511260_511880_cash50_vr90_vb-1_cap20_nav
2012-07-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-10,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995
2012-10-11,0.9886653116531166,0.9886653116531166,0.9886653116531166,0.9886653116531166,0.9886653116531166,0.9886653116531166,0.9886653116531166,0.9886653116531166,0.9886653116531166,0.9886653116531166,0.9886653116531166
2012-10-12,0.9873109756097563,0.9873109756097563,0.9873109756097563,0.9873109756097563,0.9873109756097563,0.9873109756097563,0.9873109756097563,0.9873109756097563,0.9873109756097563,0.9873109756097563,0.9873109756097563
2012-10-15,0.9818936314363146,0.9818936314363146,0.9818936314363146,0.9818936314363146,0.9818936314363146,0.9818936314363146,0.9818936314363146,0.9818936314363146,0.9818936314363146,0.9818936314363146,0.9818936314363146
2012-10-16,0.9825707994579949,0.9825707994579949,0.9825707994579949,0.9825707994579949,0.9825707994579949,0.9825707994579949,0.9825707994579949,0.9825707994579949,0.9825707994579949,0.9825707994579949,0.9825707994579949
2012-10-17,0.9886653116531167,0.9886653116531167,0.9886653116531167,0.9886653116531167,0.9886653116531167,0.9886653116531167,0.9886653116531167,0.9886653116531167,0.9886653116531167,0.9886653116531167,0.9886653116531167
2012-10-18,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433
2012-10-19,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433,1.0083031842818433
2012-10-22,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-10-23,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-10-24,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-10-25,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-10-26,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-10-29,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-10-30,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-10-31,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-11-01,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024,1.0077990326897024
2012-11-02,1.010759009147131,1.010759009147131,1.010759009147131,1.010759009147131,1.010759009147131,1.010759009147131,1.010759009147131,1.010759009147131,1.010759009147131,1.010759009147131,1.010759009147131
2012-11-05,1.0066023579786028,1.0066023579786028,1.0066023579786028,1.0066023579786028,1.0066023579786028,1.0066023579786028,1.0066023579786028,1.0066023579786028,1.0066023579786028,1.0066023579786028,1.0066023579786028
2012-11-06,1.00036738122581,1.00036738122581,1.00036738122581,1.00036738122581,1.00036738122581,1.00036738122581,1.00036738122581,1.00036738122581,1.00036738122581,1.00036738122581,1.00036738122581
2012-11-07,0.9989818308363008,0.9989818308363008,0.9989818308363008,0.9989818308363008,0.9989818308363008,0.9989818308363008,0.9989818308363008,0.9989818308363008,0.9989818308363008,0.9989818308363008,0.9989818308363008
2012-11-08,0.9698852726566025,0.9698852726566025,0.9698852726566025,0.9698852726566025,0.9698852726566025,0.9698852726566025,0.9698852726566025,0.9698852726566025,0.9698852726566025,0.9698852726566025,0.9698852726566025
2012-11-09,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-12,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-13,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-14,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-15,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-16,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-19,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-20,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-21,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-22,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-23,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-26,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-27,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-28,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-29,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-11-30,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-03,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-04,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-05,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-06,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-07,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-10,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-11,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-12,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-13,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-14,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743,0.9694003300202743
2012-12-17,0.9733895146896883,0.9733895146896883,0.9733895146896883,0.9733895146896883,0.9733895146896883,0.9733895146896883,0.9733895146896883,0.9733895146896883,0.9733895146896883,0.9733895146896883,0.9733895146896883
2012-12-18,0.9708330090700173,0.9708330090700173,0.9708330090700173,0.9708330090700173,0.9708330090700173,0.9708330090700173,0.9708330090700173,0.9708330090700173,0.9708330090700173,0.9708330090700173,0.9708330090700173
2012-12-19,0.9746677674995237,0.9746677674995237,0.9746677674995237,0.9746677674995237,0.9746677674995237,0.9746677674995237,0.9746677674995237,0.9746677674995237,0.9746677674995237,0.9746677674995237,0.9746677674995237
2012-12-20,0.9848937899782072,0.9848937899782072,0.9848937899782072,0.9848937899782072,0.9848937899782072,0.9848937899782072,0.9848937899782072,0.9848937899782072,0.9848937899782072,0.9848937899782072,0.9848937899782072
2012-12-21,0.97850252592903,0.97850252592903,0.97850252592903,0.97850252592903,0.97850252592903,0.97850252592903,0.97850252592903,0.97850252592903,0.97850252592903,0.97850252592903,0.97850252592903
2012-12-24,0.9797807787388654,0.9797807787388654,0.9797807787388654,0.9797807787388654,0.9797807787388654,0.9797807787388654,0.9797807787388654,0.9797807787388654,0.9797807787388654,0.9797807787388654,0.9797807787388654
2012-12-25,1.021963121463435,1.021963121463435,1.021963121463435,1.021963121463435,1.021963121463435,1.021963121463435,1.021963121463435,1.021963121463435,1.021963121463435,1.021963121463435,1.021963121463435
2012-12-26,1.026437006297859,1.026437006297859,1.026437006297859,1.026437006297859,1.026437006297859,1.026437006297859,1.026437006297859,1.026437006297859,1.026437006297859,1.026437006297859,1.026437006297859
2012-12-27,1.0232413742732702,1.0232413742732702,1.0232413742732702,1.0232413742732702,1.0232413742732702,1.0232413742732702,1.0232413742732702,1.0232413742732702,1.0232413742732702,1.0232413742732702,1.0232413742732702
2012-12-28,1.046249924850308,1.046249924850308,1.046249924850308,1.046249924850308,1.046249924850308,1.046249924850308,1.046249924850308,1.046249924850308,1.046249924850308,1.046249924850308,1.046249924850308
2012-12-31,1.071814981047017,1.071814981047017,1.071814981047017,1.071814981047017,1.071814981047017,1.071814981047017,1.071814981047017,1.071814981047017,1.071814981047017,1.071814981047017,1.071814981047017
2013-01-04,1.0716285857109855,1.0716285857109855,1.0716285857109855,1.0716285857109855,1.0716285857109855,1.0716285857109855,1.0716285857109855,1.0716285857109855,1.0716285857109855,1.0716285857109855,1.0716285857109855
2013-01-07,1.0718323415918098,1.0718323415918098,1.0718323415918098,1.0718323415918098,1.0718323415918098,1.0718323415918098,1.0718323415918098,1.0718323415918098,1.0718323415918098,1.0718323415918098,1.0718323415918098
